TR_S04_PTO_STO(100)_750c_200mT_1000sh_3hz_XRR_04072026	
2θ, °	Intensity, cps
0.639999985694885	184303.859375
0.643999993801117	168400.375
0.648000001907349	154768.734375
0.65200001001358	141333.90625
0.656000018119812	128450.1953125
0.660000026226044	118308.046875
0.663999974727631	108256.78125
0.667999982833862	99433.140625
0.671999990940094	92671.4375
0.675999999046326	85995.3125
0.680000007152557	79577.2109375
0.684000015258789	74515.375
0.688000023365021	69270.21875
0.691999971866608	66106.859375
0.695999979972839	62057.62890625
0.699999988079071	58881.43359375
0.703999996185303	56085.078125
0.708000004291534	52613.91015625
0.712000012397766	50632.7421875
0.716000020503998	47996.01953125
0.720000028610229	45881.17578125
0.723999977111816	43662.30078125
0.727999985218048	42103.71875
0.73199999332428	39720.734375
0.736000001430511	38494.16015625
0.740000009536743	36379.3671875
0.744000017642975	35254.8671875
0.748000025749207	34007.64453125
0.751999974250793	33120.140625
0.755999982357025	31368.197265625
0.759999990463257	30110.72265625
0.763999998569489	29207.22265625
0.76800000667572	28445.5078125
0.772000014781952	26900.107421875
0.776000022888184	26263.58203125
0.779999971389771	25493.24609375
0.783999979496002	24526.4609375
0.787999987602234	23827.615234375
0.791999995708466	23033.005859375
0.796000003814697	22362.443359375
0.800000011920929	21870.505859375
0.804000020027161	21178.865234375
0.808000028133392	20694.18359375
0.811999976634979	20033.3359375
0.815999984741211	19060.1484375
0.819999992847443	18823.951171875
0.824000000953674	18613.927734375
0.828000009059906	17962.73828125
0.832000017166138	17290.84765625
0.836000025272369	16622.765625
0.839999973773956	16523.89453125
0.843999981880188	16086.1552734375
0.84799998998642	15762.751953125
0.851999998092651	15292.5322265625
0.856000006198883	14728.244140625
0.860000014305115	14472.6904296875
0.864000022411346	14108.8134765625
0.867999970912933	13836.083984375
0.871999979019165	13692.6025390625
0.875999987125397	12979.9892578125
0.879999995231628	13019.333984375
0.88400000333786	12728.0712890625
0.888000011444092	12330.212890625
0.892000019550323	12174.220703125
0.896000027656555	11823.927734375
0.899999976158142	11257.9931640625
0.903999984264374	11122.490234375
0.907999992370605	11169.2265625
0.912000000476837	10536.1787109375
0.916000008583069	10459.294921875
0.920000016689301	10369.3046875
0.924000024795532	9966.638671875
0.927999973297119	9788.7158203125
0.931999981403351	9871.51953125
0.935999989509583	9301.1435546875
0.939999997615814	9375.615234375
0.944000005722046	9404.689453125
0.948000013828278	8860.4814453125
0.952000021934509	8778.8203125
0.955999970436096	8595.9912109375
0.959999978542328	8428.0439453125
0.96399998664856	8086.37548828125
0.967999994754791	8273.56640625
0.972000002861023	7880.54541015625
0.976000010967255	7783.83642578125
0.980000019073486	7473.46533203125
0.984000027179718	7574.09423828125
0.987999975681305	7247.53515625
0.991999983787537	7197.02490234375
0.995999991893768	7080.6796875
1	6889.234375
1.00399994850159	6910.771484375
1.00800001621246	6690.0087890625
1.01199996471405	6698.0830078125
1.01600003242493	6483.2412109375
1.01999998092651	6492.021484375
1.02400004863739	6110.9365234375
1.02799999713898	6068.64501953125
1.03199994564056	6285.78173828125
1.03600001335144	6012.94091796875
1.03999996185303	5980.166015625
1.0440000295639	5928.154296875
1.04799997806549	5828.64013671875
1.05200004577637	5751.59521484375
1.05599999427795	5453.0791015625
1.05999994277954	5592.4296875
1.06400001049042	5373.55029296875
1.067999958992	5232.59228515625
1.07200002670288	5264.14599609375
1.07599997520447	4937.68115234375
1.08000004291534	5044.7861328125
1.08399999141693	4882.576171875
1.08800005912781	5108.3876953125
1.09200000762939	4753.63720703125
1.09599995613098	4657.9462890625
1.10000002384186	4731.53369140625
1.10399997234344	4618.54296875
1.10800004005432	4555.18359375
1.11199998855591	4451.96533203125
1.11600005626678	4408.36767578125
1.12000000476837	4288.18994140625
1.12399995326996	4190.654296875
1.12800002098083	4125.29736328125
1.13199996948242	4049.15698242188
1.1360000371933	3958.427734375
1.13999998569489	3984.94799804688
1.14400005340576	3968.7060546875
1.14800000190735	4001.83911132813
1.15199995040894	3887.33276367188
1.15600001811981	3817.13549804688
1.1599999666214	3678.62548828125
1.16400003433228	3619.21459960938
1.16799998283386	3459.53125
1.17200005054474	3584.2900390625
1.17599999904633	3495.76611328125
1.17999994754791	3493.78173828125
1.18400001525879	3515.2275390625
1.18799996376038	3326.53540039063
1.19200003147125	3204.00317382813
1.19599997997284	3294.21142578125
1.20000004768372	3363.86645507813
1.2039999961853	3201.32153320313
1.20799994468689	3111.685546875
1.21200001239777	3205.39868164063
1.21599996089935	2962.49194335938
1.22000002861023	2922.01318359375
1.22399997711182	2863.30004882813
1.22800004482269	2903.9521484375
1.23199999332428	2904.21069335938
1.23599994182587	2766.35522460938
1.24000000953674	2801.6787109375
1.24399995803833	2762.99267578125
1.24800002574921	2624.6494140625
1.25199997425079	2736.0732421875
1.25600004196167	2709.11352539063
1.25999999046326	2628.5595703125
1.26400005817413	2634.86450195313
1.26800000667572	2525.955078125
1.27199995517731	2424.83715820313
1.27600002288818	2571.25903320313
1.27999997138977	2410.08129882813
1.28400003910065	2490.54760742188
1.28799998760223	2329.59008789063
1.29200005531311	2448.484375
1.2960000038147	2245.85693359375
1.29999995231628	2264.9599609375
1.30400002002716	2343.69653320313
1.30799996852875	2223.32299804688
1.31200003623962	2140.17407226563
1.31599998474121	2250.80981445313
1.32000005245209	2253.93481445313
1.32400000095367	2102.44580078125
1.32799994945526	2242.66625976563
1.33200001716614	2126.40649414063
1.33599996566772	2060.90454101563
1.3400000333786	2060.31762695313
1.34399998188019	2085.85034179688
1.34800004959106	1910.70703125
1.35199999809265	1960.69311523438
1.35599994659424	1925.96215820313
1.36000001430511	1960.01892089844
1.3639999628067	1801.05932617188
1.36800003051758	1850.38110351563
1.37199997901917	1800.32165527344
1.37600004673004	1953.83215332031
1.37999999523163	1742.75207519531
1.38399994373322	1735.49890136719
1.38800001144409	1778.66723632813
