TR_S06_PTO_LAO(100)_600c_200mT_1000sh_2hz_2 theta omega_04082026{1}	
2θ, °	Intensity, cps
28.5900001525879	21.5964374542236
28.6000003814697	0
28.6100006103516	0
28.6200008392334	0
28.6299991607666	0
28.6399993896484	0
28.6499996185303	0
28.6599998474121	0
28.6700000762939	0
28.6800003051758	0
28.6900005340576	0
28.7000007629395	0
28.7099990844727	0
28.7199993133545	0
28.7299995422363	0
28.7399997711182	0
28.75	0
28.7600002288818	0
28.7700004577637	0
28.7800006866455	0
28.7900009155273	0
28.7999992370605	21.924388885498
28.8099994659424	0
28.8199996948242	0
28.8299999237061	0
28.8400001525879	0
28.8500003814697	0
28.8600006103516	0
28.8700008392334	0
28.8799991607666	0
28.8899993896484	0
28.8999996185303	0
28.9099998474121	0
28.9200000762939	21.1281337738037
28.9300003051758	6.77479696273804
28.9400005340576	20.6420402526855
28.9500007629395	0
28.9599990844727	0
28.9699993133545	0
28.9799995422363	0
28.9899997711182	0
29	0
29.0100002288818	0
29.0200004577637	0
29.0300006866455	0
29.0400009155273	0
29.0499992370605	0
29.0599994659424	20.4143047332764
29.0699996948242	0
29.0799999237061	0
29.0900001525879	0
29.1000003814697	21.265905380249
29.1100006103516	0
29.1200008392334	0
29.1299991607666	0
29.1399993896484	0
29.1499996185303	0
29.1599998474121	20.7287616729736
29.1700000762939	21.4645938873291
29.1800003051758	0
29.1900005340576	0
29.2000007629395	0
29.2099990844727	0
29.2199993133545	21.1278438568115
29.2299995422363	0
29.2399997711182	0
29.25	0
29.2600002288818	0
29.2700004577637	0
29.2800006866455	20.9656505584717
29.2900009155273	0
29.2999992370605	0
29.3099994659424	0
29.3199996948242	0
29.3299999237061	21.626537322998
29.3400001525879	0
29.3500003814697	0
29.3600006103516	0
29.3700008392334	0
29.3799991607666	0
29.3899993896484	21.942268371582
29.3999996185303	0
29.4099998474121	21.806489944458
29.4200000762939	0
29.4300003051758	0
29.4400005340576	0
29.4500007629395	0
29.4599990844727	0
29.4699993133545	21.7269859313965
29.4799995422363	0
29.4899997711182	0
29.5	0
29.5100002288818	0
29.5200004577637	0
29.5300006866455	0
29.5400009155273	0
29.5499992370605	0
29.5599994659424	0
29.5699996948242	0
29.5799999237061	0
29.5900001525879	0
29.6000003814697	0
29.6100006103516	0
29.6200008392334	0
29.6299991607666	0
29.6399993896484	42.8018951416016
29.6499996185303	0
29.6599998474121	0
29.6700000762939	0
29.6800003051758	20.9733867645264
29.6900005340576	0
29.7000007629395	0
29.7099990844727	0
29.7199993133545	22.5939178466797
29.7299995422363	0
29.7399997711182	21.8126468658447
29.75	0
29.7600002288818	0
29.7700004577637	0
29.7800006866455	0
29.7900009155273	0
29.7999992370605	0
29.8099994659424	0
29.8199996948242	0
29.8299999237061	0
29.8400001525879	0
29.8500003814697	0
29.8600006103516	0
29.8700008392334	0
29.8799991607666	0
29.8899993896484	21.6484851837158
29.8999996185303	20.4143047332764
29.9099998474121	0
29.9200000762939	0
29.9300003051758	21.2389068603516
29.9400005340576	0
29.9500007629395	0
29.9599990844727	0
29.9699993133545	0
29.9799995422363	0
29.9899997711182	0
30	20.5697898864746
30.0100002288818	0
30.0200004577637	0
30.0300006866455	21.9936351776123
30.0400009155273	22.3590774536133
30.0499992370605	0
30.0599994659424	42.8667030334473
30.0699996948242	0
30.0799999237061	20.8762493133545
30.0900001525879	0
30.1000003814697	0
30.1100006103516	0
30.1200008392334	0
30.1299991607666	0
30.1399993896484	0
30.1499996185303	0
30.1599998474121	20.94895362854
30.1700000762939	0
30.1800003051758	0
30.1900005340576	0
30.2000007629395	21.0372066497803
30.2099990844727	0
30.2199993133545	0
30.2299995422363	0
30.2399997711182	0
30.25	0
30.2600002288818	0
30.2700004577637	0
30.2800006866455	0
30.2900009155273	0
30.2999992370605	21.169319152832
30.3099994659424	0
30.3199996948242	0
30.3299999237061	0
30.3400001525879	0
30.3500003814697	0
30.3600006103516	0
30.3700008392334	22.1469230651855
30.3799991607666	0
30.3899993896484	0
30.3999996185303	0
30.4099998474121	0
30.4200000762939	21.4934825897217
30.4300003051758	0
30.4400005340576	0
30.4500007629395	0
30.4599990844727	0
30.4699993133545	0
30.4799995422363	0
30.4899997711182	0
30.5	0
30.5100002288818	0
30.5200004577637	20.7156105041504
30.5300006866455	0
30.5400009155273	0
30.5499992370605	0
30.5599994659424	0
30.5699996948242	0
30.5799999237061	0
30.5900001525879	0
30.6000003814697	22.3038711547852
30.6100006103516	0
30.6200008392334	0
30.6299991607666	0
30.6399993896484	20.8349914550781
30.6499996185303	0
30.6599998474121	0
30.6700000762939	0
30.6800003051758	20.5089855194092
30.6900005340576	20.9456272125244
30.7000007629395	0
30.7099990844727	0
30.7199993133545	0
30.7299995422363	20.9310359954834
30.7399997711182	0
30.75	7.22251415252686
30.7600002288818	0
30.7700004577637	0
30.7800006866455	21.6365909576416
30.7900009155273	0
30.7999992370605	0
30.8099994659424	0
30.8199996948242	0
30.8299999237061	0
30.8400001525879	0
30.8500003814697	0
30.8600006103516	0
30.8700008392334	22.2362213134766
30.8799991607666	0
30.8899993896484	0
30.8999996185303	0
30.9099998474121	0
30.9200000762939	0
