TR_S05_PTO_STO(100)_600c_200mT_1000sh_2hz_2theta omega_04092026	
2θ, °	Intensity, cps
15.657600402832	29.3026161193848
15.6624002456665	0
15.667200088501	0
15.6719999313354	0
15.6767997741699	0
15.6815996170044	14.6131801605225
15.6864004135132	0
15.6912002563477	0
15.6960000991821	0
15.7007999420166	0
15.7055997848511	14.2663373947144
15.7103996276855	0
15.7152004241943	0
15.7200002670288	0
15.7248001098633	14.1911602020264
15.7295999526978	14.9371461868286
15.7343997955322	0
15.7391996383667	0
15.7440004348755	15.0996150970459
15.74880027771	0
15.7536001205444	14.1897497177124
15.7583999633789	0
15.7631998062134	15.2799186706543
15.7679996490479	0
15.7728004455566	13.9011430740356
15.7776002883911	0
15.7824001312256	0
15.7871999740601	0
15.7919998168945	14.5402364730835
15.796799659729	0
15.8016004562378	0
15.8064002990723	0
15.8112001419067	14.8077955245972
15.8159999847412	0
15.8207998275757	0
15.8255996704102	0
15.8304004669189	0
15.8352003097534	0
15.8400001525879	14.1543054580688
15.8447999954224	0
15.8495998382568	0
15.8543996810913	0
15.8591995239258	0
15.8640003204346	0
15.868800163269	15.1891174316406
15.8736000061035	14.0529651641846
15.878399848938	4.85146379470825
15.8831996917725	0
15.8879995346069	14.3124265670776
15.8928003311157	14.7428216934204
15.8976001739502	0
15.9024000167847	0
15.9071998596191	14.2614707946777
15.9119997024536	0
15.9167995452881	0
15.9216003417969	0
15.9264001846313	0
15.9312000274658	0
15.9359998703003	0
15.9407997131348	0
15.9455995559692	0
15.950400352478	0
15.9552001953125	0
15.960000038147	0
15.9647998809814	0
15.9695997238159	0
15.9743995666504	0
15.9792003631592	14.0745258331299
15.9840002059937	13.9632873535156
15.9888000488281	13.9627027511597
15.9935998916626	0
15.9983997344971	15.073371887207
16.0032005310059	0
16.007999420166	0
16.0128002166748	13.9288558959961
16.017599105835	0
16.0223999023438	0
16.0272006988525	0
16.0319995880127	0
16.0368003845215	0
16.0415992736816	0
16.0464000701904	0
16.0512008666992	0
16.0559997558594	14.7276172637939
16.0608005523682	0
16.0655994415283	14.688401222229
16.0704002380371	14.77796459198
16.0751991271973	14.3499126434326
16.0799999237061	0
16.0848007202148	0
16.089599609375	0
16.0944004058838	0
16.0991992950439	0
16.1040000915527	0
16.1088008880615	0
16.1135997772217	0
16.1184005737305	0
16.1231994628906	0
16.1280002593994	14.3442916870117
16.1327991485596	0
16.1375999450684	0
16.1424007415771	14.8440055847168
16.1471996307373	0
16.1520004272461	15.2649345397949
16.1567993164063	5.17308807373047
16.161600112915	0
16.1664009094238	0
16.171199798584	0
16.1760005950928	0
16.1807994842529	14.1260690689087
16.1856002807617	0
16.1903991699219	0
16.1951999664307	14.3027772903442
16.2000007629395	0
16.2047996520996	14.965612411499
16.2096004486084	0
16.2143993377686	0
16.2192001342773	0
16.2240009307861	0
16.2287998199463	0
16.2336006164551	0
16.2383995056152	0
16.243200302124	0
16.2479991912842	0
16.252799987793	0
16.2576007843018	0
16.2623996734619	0
16.2672004699707	19.3717975616455
16.2719993591309	14.2974042892456
16.2768001556396	0
16.2816009521484	0
16.2863998413086	0
16.2912006378174	0
16.2959995269775	0
16.3008003234863	0
16.3055992126465	0
16.3104000091553	0
16.3152008056641	14.2129011154175
16.3199996948242	0
16.324800491333	0
16.3295993804932	0
16.334400177002	0
16.3391990661621	0
16.3439998626709	0
16.3488006591797	0
16.3535995483398	0
16.3584003448486	0
16.3631992340088	0
16.3680000305176	0
16.3728008270264	0
16.3775997161865	0
16.3824005126953	0
16.3871994018555	0
16.3920001983643	0
16.3967990875244	0
16.4015998840332	0
16.406400680542	0
16.4111995697021	0
16.4160003662109	0
16.4207992553711	4.80316162109375
16.4256000518799	29.3003082275391
16.4304008483887	0
16.4351997375488	14.3744020462036
16.4400005340576	0
16.4447994232178	0
16.4496002197266	0
16.4543991088867	0
16.4591999053955	0
16.4640007019043	0
16.4687995910645	0
16.4736003875732	0
16.4783992767334	0
16.4832000732422	0
16.488000869751	0
16.4927997589111	0
16.4976005554199	0
16.5023994445801	0
16.5072002410889	0
16.511999130249	0
16.5167999267578	14.7551927566528
16.5216007232666	0
16.5263996124268	0
16.5312004089355	29.5316371917725
16.5359992980957	0
16.5408000946045	4.87757015228271
16.5456008911133	0
16.5503997802734	0
16.5552005767822	0
16.5599994659424	0
16.5648002624512	0
16.5695991516113	0
16.5743999481201	0
16.5792007446289	14.1215324401855
16.5839996337891	0
16.5888004302979	15.2705326080322
16.593599319458	0
16.5984001159668	0
16.6032009124756	4.76311874389648
16.6079998016357	0
16.6128005981445	14.8346376419067
16.6175994873047	14.7163305282593
16.6224002838135	0
16.6271991729736	0
16.6319999694824	14.232871055603
16.6368007659912	0
16.6415996551514	0
16.6464004516602	0
16.6511993408203	15.0050535202026
16.6560001373291	0
16.6608009338379	15.1585836410522
16.665599822998	0
16.6704006195068	14.935079574585
16.675199508667	0
16.6800003051758	0
16.6847991943359	0
16.6895999908447	14.7457141876221
16.6944007873535	0
16.6991996765137	0
16.7040004730225	0
16.7087993621826	0
16.7136001586914	0
16.7183990478516	0
16.7231998443604	0
16.7280006408691	14.7467851638794
16.7327995300293	0
16.7376003265381	0
16.7423992156982	0
