TR_S05_PTO_STO(100)_600c_200mT_1000sh_2hz_film RC_04092026	
2θ, °	Intensity, cps
21.9950008392334	109.129280090332
22	59.8592567443848
22.0049991607666	64.9300231933594
22.0100002288818	102.916198730469
22.0149993896484	99.1984176635742
22.0200004577637	117.228904724121
22.0249996185303	126.059646606445
22.0300006866455	148.131362915039
22.0349998474121	13.7976217269897
22.0400009155273	27.6461277008057
22.0450000762939	173.242599487305
22.0499992370605	27.5469455718994
22.0550003051758	84.0580215454102
22.0599994659424	187.242034912109
22.0650005340576	98.5060577392578
22.0699996948242	13.6669368743896
22.0750007629395	45.7276382446289
22.0799999237061	96.9829025268555
22.0849990844727	55.8816146850586
22.0900001525879	41.8247489929199
22.0949993133545	98.0539855957031
22.1000003814697	97.1053009033203
22.1049995422363	55.6440811157227
22.1100006103516	41.5623054504395
22.1149997711182	102.68928527832
22.1200008392334	55.6267433166504
22.125	28.1463012695313
22.1299991607666	69.6349182128906
22.1350002288818	40.5336380004883
22.1399993896484	28.8145294189453
22.1450004577637	55.2785491943359
22.1499996185303	0
22.1550006866455	47.3579254150391
22.1599998474121	0
22.1650009155273	0
22.1700000762939	13.6744623184204
22.1749992370605	27.0653781890869
22.1800003051758	14.4895668029785
22.1849994659424	13.7888879776001
22.1900005340576	13.8490200042725
22.1949996948242	14.0676212310791
22.2000007629395	27.4008903503418
22.2049999237061	27.5298557281494
22.2099990844727	42.3205070495605
22.2150001525879	0
22.2199993133545	57.1330909729004
22.2250003814697	0
22.2299995422363	14.3754987716675
22.2350006103516	14.1302604675293
22.2399997711182	18.4188117980957
22.2450008392334	42.3146705627441
22.25	4.39768648147583
22.2549991607666	14.4496850967407
22.2600002288818	14.1088075637817
22.2649993896484	4.6010856628418
22.2700004577637	0
22.2749996185303	0
22.2800006866455	4.51167058944702
22.2849998474121	0
22.2900009155273	14.5374870300293
22.2950000762939	51.3645858764648
22.2999992370605	14.2522506713867
22.3050003051758	41.5322952270508
22.3099994659424	0
22.3150005340576	18.574348449707
22.3199996948242	13.8206796646118
22.3250007629395	26.8638172149658
22.3299999237061	13.6338520050049
22.3349990844727	0
22.3400001525879	28.0378856658936
22.3449993133545	0
22.3500003814697	13.6149787902832
22.3549995422363	13.5334539413452
22.3600006103516	0
22.3649997711182	14.0760869979858
22.3700008392334	27.5484237670898
22.375	27.6870002746582
22.3799991607666	0
22.3850002288818	14.51828956604
22.3899993896484	0
22.3950004577637	0
22.3999996185303	55.4212112426758
22.4050006866455	32.6727523803711
22.4099998474121	13.782696723938
22.4150009155273	41.6416702270508
22.4200000762939	13.8326358795166
22.4249992370605	27.696252822876
22.4300003051758	13.8396625518799
22.4349994659424	28.1150684356689
22.4400005340576	4.54037809371948
22.4449996948242	31.7390308380127
22.4500007629395	46.3223724365234
22.4549999237061	0
22.4599990844727	4.47465372085571
22.4650001525879	13.3149356842041
22.4699993133545	14.426383972168
22.4750003814697	13.7796144485474
22.4799995422363	55.5577201843262
22.4850006103516	27.1429405212402
22.4899997711182	41.5434303283691
22.4950008392334	27.5865230560303
22.5	27.8814888000488
22.5049991607666	0
22.5100002288818	13.7010736465454
22.5149993896484	27.621265411377
22.5200004577637	18.2800521850586
22.5249996185303	14.7260551452637
22.5300006866455	0
22.5349998474121	27.7896251678467
22.5400009155273	0
22.5450000762939	0
22.5499992370605	28.0223751068115
22.5550003051758	13.9703845977783
22.5599994659424	0
22.5650005340576	13.6637468338013
22.5699996948242	0
22.5750007629395	41.3190765380859
22.5799999237061	27.7483139038086
22.5849990844727	0
22.5900001525879	13.5803203582764
22.5949993133545	13.6026430130005
22.6000003814697	13.408953666687
22.6049995422363	0
22.6100006103516	41.7299919128418
22.6149997711182	13.3093786239624
22.6200008392334	4.3363995552063
22.625	28.4524021148682
22.6299991607666	18.319652557373
22.6350002288818	13.4948320388794
22.6399993896484	18.8852977752686
22.6450004577637	13.4777336120605
22.6499996185303	13.6714477539063
22.6550006866455	32.6566581726074
22.6599998474121	0
22.6650009155273	0
22.6700000762939	0
22.6749992370605	55.0376968383789
22.6800003051758	14.0001440048218
22.6849994659424	0
22.6900005340576	17.7757873535156
22.6949996948242	14.0302629470825
22.7000007629395	0
22.7049999237061	0
22.7099990844727	0
22.7150001525879	13.943829536438
22.7199993133545	0
22.7250003814697	13.4398050308228
22.7299995422363	0
22.7350006103516	18.3340587615967
22.7399997711182	0
22.7450008392334	13.8396625518799
22.75	27.4426746368408
22.7549991607666	13.768518447876
22.7600002288818	13.4386730194092
22.7649993896484	0
22.7700004577637	0
22.7749996185303	13.5920877456665
22.7800006866455	14.0335245132446
22.7849998474121	13.5052795410156
22.7900009155273	27.2800159454346
22.7950000762939	13.8975172042847
22.7999992370605	13.2575540542603
22.8050003051758	0
22.8099994659424	14.3678302764893
22.8150005340576	13.7724142074585
22.8199996948242	0
22.8250007629395	14.2993850708008
22.8299999237061	13.884485244751
22.8349990844727	0
22.8400001525879	27.9180469512939
22.8449993133545	14.2946548461914
22.8500003814697	27.5142230987549
22.8549995422363	45.8787002563477
22.8600006103516	0
22.8649997711182	0
22.8700008392334	14.0940885543823
22.875	0
22.8799991607666	14.0217523574829
22.8850002288818	0
22.8899993896484	0
22.8950004577637	14.1817541122437
22.8999996185303	18.2561798095703
22.9050006866455	0
22.9099998474121	0
22.9150009155273	18.4422645568848
22.9200000762939	27.4102840423584
22.9249992370605	41.334342956543
22.9300003051758	0
22.9349994659424	0
22.9400005340576	13.408953666687
22.9449996948242	42.2806777954102
22.9500007629395	0
22.9549999237061	0
22.9599990844727	14.1952447891235
22.9650001525879	0
22.9699993133545	0
22.9750003814697	13.6558218002319
22.9799995422363	27.757266998291
22.9850006103516	0
22.9899997711182	0
22.9950008392334	13.2206554412842
23	14.0279417037964
23.0049991607666	14.6208066940308
23.0100002288818	0
23.0149993896484	13.5761613845825
23.0200004577637	0
23.0249996185303	41.9447975158691
23.0300006866455	28.6522102355957
23.0349998474121	0
23.0400009155273	4.71675109863281
23.0450000762939	0
23.0499992370605	13.5484962463379
23.0550003051758	0
23.0599994659424	14.2817878723145
23.0650005340576	14.1873741149902
23.0699996948242	0
23.0750007629395	27.8630123138428
23.0799999237061	14.3493747711182
23.0849990844727	28.243070602417
23.0900001525879	0
23.0949993133545	14.0301399230957
23.1000003814697	13.5955781936646
23.1049995422363	27.8785266876221
23.1100006103516	4.63675212860107
23.1149997711182	14.9152355194092
23.1200008392334	13.7748146057129
23.125	13.6994104385376
23.1299991607666	0
23.1350002288818	0
23.1399993896484	0
23.1450004577637	0
23.1499996185303	27.6426792144775
23.1550006866455	0
23.1599998474121	13.6993980407715
23.1650009155273	0
23.1700000762939	0
23.1749992370605	28.0079746246338
23.1800003051758	13.8490200042725
23.1849994659424	0
23.1900005340576	0
23.1949996948242	4.60178422927856
23.2000007629395	0
23.2049999237061	0
23.2099990844727	13.7119512557983
