TR_S07_PTO_STO(100)_600c_variable pressure_2000sh_3hz_2theta omega_04102026{1}	
2θ, °	Intensity, cps
17.5536003112793	15.1094169616699
17.5583992004395	0
17.5631999969482	0
17.568000793457	14.7156114578247
17.5727996826172	28.7370681762695
17.577600479126	0
17.5823993682861	0
17.5872001647949	9.42905616760254
17.5919990539551	0
17.5967998504639	0
17.6016006469727	0
17.6063995361328	0
17.6112003326416	0
17.6159992218018	0
17.6208000183105	0
17.6256008148193	14.9741106033325
17.6303997039795	0
17.6352005004883	13.9813623428345
17.6399993896484	19.324893951416
17.6448001861572	0
17.6495990753174	14.9836587905884
17.6543998718262	14.6231966018677
17.659200668335	43.6965942382813
17.6639995574951	0
17.6688003540039	0
17.6735992431641	0
17.6784000396729	0
17.6832008361816	29.3375625610352
17.6879997253418	28.7468128204346
17.6928005218506	13.7741765975952
17.6975994110107	14.0667505264282
17.7024002075195	0
17.7071990966797	14.7405776977539
17.7119998931885	0
17.7168006896973	15.2019958496094
17.7215995788574	0
17.7264003753662	0
17.7311992645264	28.4924640655518
17.7360000610352	0
17.7408008575439	0
17.7455997467041	0
17.7504005432129	14.5573396682739
17.755199432373	0
17.7600002288818	0
17.764799118042	0
17.7695999145508	29.4923725128174
17.7744007110596	0
17.7791996002197	0
17.7840003967285	0
17.7887992858887	0
17.7936000823975	0
17.7984008789063	0
17.8031997680664	0
17.8080005645752	0
17.8127994537354	0
17.8176002502441	0
17.8223991394043	14.2718505859375
17.8271999359131	0
17.8320007324219	28.9540729522705
17.836799621582	0
17.8416004180908	0
17.846399307251	13.9632873535156
17.8512001037598	0
17.8560009002686	0
17.8607997894287	0
17.8656005859375	0
17.8703994750977	14.2677822113037
17.8752002716064	0
17.8799991607666	0
17.8847999572754	0
17.8896007537842	14.3439455032349
17.8943996429443	14.2133302688599
17.8992004394531	14.8204784393311
17.9039993286133	0
17.9088001251221	0
17.9136009216309	15.0543565750122
17.918399810791	0
17.9232006072998	14.5138597488403
17.92799949646	0
17.9328002929688	0
17.9375991821289	43.450080871582
17.9423999786377	29.6282730102539
17.9472007751465	14.5669364929199
17.9519996643066	0
17.9568004608154	0
17.9615993499756	0
17.9664001464844	15.646674156189
17.9712009429932	0
17.9759998321533	15.646674156189
17.9808006286621	28.8748798370361
17.9855995178223	0
17.9904003143311	28.633752822876
17.9951992034912	0
18	0
18.0048007965088	14.7810525894165
18.0095996856689	0
18.0144004821777	14.4999160766602
18.0191993713379	14.6454277038574
18.0240001678467	0
18.0287990570068	0
18.0335998535156	14.1996440887451
18.0384006500244	0
18.0431995391846	14.5301418304443
18.0480003356934	14.9065771102905
18.0527992248535	0
18.0576000213623	0
18.0624008178711	14.6374588012695
18.0671997070313	42.889232635498
18.07200050354	0
18.0767993927002	14.2802286148071
18.081600189209	15.2739419937134
18.0863990783691	14.2130451202393
18.0911998748779	14.628716468811
18.0960006713867	0
18.1007995605469	0
18.1056003570557	29.004020690918
18.1103992462158	14.3845243453979
18.1152000427246	14.4111680984497
18.1200008392334	0
18.1247997283936	14.1366701126099
18.1296005249023	14.6789331436157
18.1343994140625	14.8287315368652
18.1392002105713	15.1453485488892
18.1439990997314	29.327320098877
18.1487998962402	14.3046808242798
18.153600692749	0
18.1583995819092	14.2589426040649
18.163200378418	15.1582307815552
18.1679992675781	18.8844394683838
18.1728000640869	57.7316741943359
18.1776008605957	14.6283340454102
18.1823997497559	14.6271085739136
18.1872005462646	0
18.1919994354248	0
18.1968002319336	0
18.2015991210938	19.6567287445068
18.2063999176025	14.634575843811
18.2112007141113	0
18.2159996032715	14.4680290222168
18.2208003997803	0
18.2255992889404	28.5585193634033
18.2304000854492	0
18.235200881958	29.4465255737305
18.2399997711182	14.5138282775879
18.244800567627	0
18.2495994567871	14.8204069137573
18.2544002532959	14.8640956878662
18.2591991424561	0
18.2639999389648	14.949818611145
18.2688007354736	14.5873508453369
18.2735996246338	14.452579498291
18.2784004211426	14.6658887863159
18.2831993103027	14.7728176116943
18.2880001068115	0
18.2928009033203	29.465202331543
18.2975997924805	0
18.3024005889893	15.1160888671875
18.3071994781494	14.5771074295044
18.3120002746582	28.507755279541
18.3167991638184	0
18.3215999603271	15.2193841934204
18.3264007568359	0
18.3311996459961	14.641960144043
18.3360004425049	28.5435810089111
18.340799331665	14.1240129470825
18.3456001281738	15.2610759735107
18.3504009246826	14.3967752456665
18.3551998138428	0
18.3600006103516	29.0302963256836
18.3647994995117	0
18.3696002960205	33.7084579467773
18.3743991851807	0
18.3791999816895	28.9406318664551
18.3840007781982	14.4343156814575
18.3887996673584	14.1314582824707
18.3936004638672	14.7839126586914
18.3983993530273	0
18.4032001495361	0
18.4080009460449	0
18.4127998352051	0
18.4176006317139	14.7487440109253
18.422399520874	14.9835758209229
18.4272003173828	0
18.431999206543	29.8681259155273
18.4368000030518	14.9120178222656
18.4416007995605	0
18.4463996887207	0
18.4512004852295	0
18.4559993743896	0
18.4608001708984	14.4320182800293
18.4655990600586	13.7986755371094
18.4703998565674	14.8636980056763
18.4752006530762	14.3472290039063
18.4799995422363	0
18.4848003387451	14.7578248977661
18.4895992279053	0
18.4944000244141	29.0004081726074
18.4992008209229	15.0611200332642
18.503999710083	15.1558828353882
18.5088005065918	29.2691421508789
18.513599395752	0
18.5184001922607	14.5778770446777
18.5231990814209	0
18.5279998779297	0
18.5328006744385	28.7768211364746
18.5375995635986	15.1245822906494
18.5424003601074	14.5909605026245
18.5471992492676	0
18.5520000457764	0
18.5568008422852	15.0068216323853
18.5615997314453	0
18.5664005279541	0
18.5711994171143	14.1595125198364
18.576000213623	29.6095581054688
18.5807991027832	15.0619449615479
18.585599899292	29.4359493255615
18.5904006958008	15.0050535202026
18.5951995849609	44.1305503845215
18.6000003814697	0
18.6047992706299	14.5909605026245
18.6096000671387	0
18.6144008636475	0
18.6191997528076	14.0414171218872
18.6240005493164	30.1645736694336
18.6287994384766	43.4415626525879
18.6336002349854	14.8287315368652
18.6383991241455	0
18.6431999206543	13.9154624938965
18.6480007171631	30.0065288543701
18.6527996063232	15.1094169616699
18.657600402832	0
18.6623992919922	14.6971960067749
18.667200088501	0
18.6720008850098	57.421459197998
18.6767997741699	0
18.6816005706787	0
18.6863994598389	28.7630653381348
18.6912002563477	15.0505933761597
18.6959991455078	43.6404075622559
18.7007999420166	0
18.7056007385254	0
18.7103996276855	14.1683301925659
18.7152004241943	29.4464836120605
18.7199993133545	0
18.7248001098633	0
18.7296009063721	14.637900352478
18.7343997955322	14.2677822113037
18.739200592041	28.979248046875
18.7439994812012	14.8797082901001
