TR_S06_PTO_LAO(100)_600c_200mT_1000sh_2hz_XRR_04082026	
2θ, °	Intensity, cps
0.991999983787537	1410.52197265625
0.995999991893768	1383.21765136719
1	1406.88366699219
1.00399994850159	1217.33642578125
1.00800001621246	1190.3212890625
1.01199996471405	1178.59851074219
1.01600003242493	1249.970703125
1.01999998092651	1245.2314453125
1.02400004863739	1144.16345214844
1.02799999713898	1085.07727050781
1.03199994564056	1013.87158203125
1.03600001335144	1031.59240722656
1.03999996185303	1010.30743408203
1.0440000295639	944.263732910156
1.04799997806549	906.8681640625
1.05200004577637	819.12353515625
1.05599999427795	918.692138671875
1.05999994277954	931.326599121094
1.06400001049042	835.09423828125
1.067999958992	862.471557617188
1.07200002670288	835.015380859375
1.07599997520447	819.317749023438
1.08000004291534	779.99755859375
1.08399999141693	738.044372558594
1.08800005912781	747.211120605469
1.09200000762939	665.321166992188
1.09599995613098	669.952514648438
1.10000002384186	721.114562988281
1.10399997234344	747.661071777344
1.10800004005432	617.983337402344
1.11199998855591	684.223693847656
1.11600005626678	621.716430664063
1.12000000476837	600.803771972656
1.12399995326996	644.234802246094
1.12800002098083	570.323120117188
1.13199996948242	588.351318359375
1.1360000371933	628.376770019531
1.13999998569489	572.884582519531
1.14400005340576	552.65625
1.14800000190735	561.247375488281
1.15199995040894	517.455688476563
1.15600001811981	527.985595703125
1.1599999666214	542.973937988281
1.16400003433228	481.178466796875
1.16799998283386	487.662902832031
1.17200005054474	438.165466308594
1.17599999904633	516.234985351563
1.17999994754791	467.668548583984
1.18400001525879	404.253479003906
1.18799996376038	446.217864990234
1.19200003147125	441.824829101563
1.19599997997284	388.523071289063
1.20000004768372	391.321350097656
1.2039999961853	337.581146240234
1.20799994468689	437.932067871094
1.21200001239777	424.790191650391
1.21599996089935	462.5322265625
1.22000002861023	378.278411865234
1.22399997711182	388.703643798828
1.22800004482269	407.320037841797
1.23199999332428	346.590850830078
1.23599994182587	372.010223388672
1.24000000953674	312.292755126953
1.24399995803833	380.879180908203
1.24800002574921	289.288604736328
1.25199997425079	325.708221435547
1.25600004196167	381.705963134766
1.25999999046326	316.360748291016
1.26400005817413	268.2763671875
1.26800000667572	296.843902587891
1.27199995517731	352.813446044922
1.27600002288818	213.523620605469
1.27999997138977	240.268035888672
1.28400003910065	289.083801269531
1.28799998760223	286.829864501953
1.29200005531311	309.777282714844
1.2960000038147	274.434722900391
