TR_S10_PTO_STO(100)_500c_150mT_20000sh_5hz_2theta omega_04162026{1}	
2θ, °	Intensity, cps
17.5007991790771	0
17.5055999755859	14.2638101577759
17.5104007720947	4.75268459320068
17.5151996612549	0
17.5200004577637	0
17.5247993469238	0
17.5296001434326	15.045352935791
17.5344009399414	0
17.5391998291016	0
17.5440006256104	14.0452041625977
17.5487995147705	0
17.5536003112793	0
17.5583992004395	0
17.5631999969482	4.74003982543945
17.568000793457	0
17.5727996826172	0
17.577600479126	0
17.5823993682861	14.750883102417
17.5872001647949	0
17.5919990539551	0
17.5967998504639	0
17.6016006469727	0
17.6063995361328	14.5004110336304
17.6112003326416	15.0068216323853
17.6159992218018	0
17.6208000183105	0
17.6256008148193	14.7490186691284
17.6303997039795	0
17.6352005004883	0
17.6399993896484	14.3261585235596
17.6448001861572	0
17.6495990753174	0
17.6543998718262	0
17.659200668335	14.2585220336914
17.6639995574951	0
17.6688003540039	0
17.6735992431641	14.235372543335
17.6784000396729	15.114143371582
17.6832008361816	0
17.6879997253418	0
17.6928005218506	0
17.6975994110107	14.0745258331299
17.7024002075195	0
17.7071990966797	0
17.7119998931885	0
17.7168006896973	14.5234718322754
17.7215995788574	0
17.7264003753662	15.0900316238403
17.7311992645264	0
17.7360000610352	0
17.7408008575439	0
17.7455997467041	14.750883102417
17.7504005432129	0
17.755199432373	0
17.7600002288818	43.6618728637695
17.764799118042	0
17.7695999145508	0
17.7744007110596	14.2362775802612
17.7791996002197	0
17.7840003967285	0
17.7887992858887	14.8326768875122
17.7936000823975	14.9024877548218
17.7984008789063	0
17.8031997680664	0
17.8080005645752	14.622200012207
17.8127994537354	0
17.8176002502441	19.8591728210449
17.8223991394043	14.3944473266602
17.8271999359131	14.5004110336304
17.8320007324219	19.0703983306885
17.836799621582	0
17.8416004180908	14.2513446807861
17.846399307251	0
17.8512001037598	0
17.8560009002686	13.9196882247925
17.8607997894287	0
17.8656005859375	28.3384227752686
17.8703994750977	0
17.8752002716064	14.258526802063
17.8799991607666	14.8473529815674
17.8847999572754	0
17.8896007537842	0
